"notes","label"
"Shipping costs paid by buyer","0"
"The accurest political gameGerman versionGood and complete.Pictures on demand.Accepted payments : paypal or bank transfers.Referenced ebay seller.Shipping fees to be added.See my other games for combined delivery fees .","0"
"first Edition, German version,  1986 by Hans-im-Glck-VerlagShipping costs see informations below.Payment via PayPal or bank transfer.If you pay via PayPal, please use the button Send to friends abroad, then there are no fees. ... Thanks!!Please verify your shipping address before ordering or paying with PayPal. If your address contains non-Latin characters please include it in Latin script, too.We offer in our ""Modern Second-Hand-Games-Shop"" on our private homepage www.alte-spiele.de/antiquar.html more than 3.500 other games: older one, newer one, rare one and little known one. The offer consists of titles since the 1970s and mainly in German-speaking. Just look once over with us.","0"
"The box has never been opened the shrink is present but has some opening in the shrink wrap.","0"
"Prefer to ship to Germany!For shipment to other EU countries please send me a message first.Versand mit Hermes.Bezahlung per berweisung.","0"
"Slight dip in the box top, but the contents are unplayed.","0"
"Brand new in mica","0"
"Game has never been played. Always kept in a smoke free, mold free environment.","0"
"In great shape, few small marks on box, otherwise the game material is in excellent condition.Feel free to ask for photos.Accept Bitcoins, Paypal or Wire Transfer.","0"
"Kickstarter version unopened in shrink$15 shipping in the US. Dicetower West (Feb 26-29, Las Vegas) pickup available instead of shipping","0"
"New in shrink.Shipping is calculated based on the destination country.","0"
"PM me for shipping quotes and additional payment options.","0"
"Payment is possible with Revolut, PayPal, or a bank transfer.Please ask for shipping :)","0"
"I sell three copies of the game: The first edition from 1986, the second from 1997 and the latest from 2019 (Spielworxx).'From a smoke free and pet free home.Die Macher  First edition (1986)Publisher: Moskito Spiele (Hans im Glck)Language: German-only** Condition: Very good (Already opened and played, but very well conserved) Die Macher  Second edition (1997) Publisher: Hans im GlckLanguage: German-only** Condition: Like New (I bought it opened, but it was never played)Die Macher Die Macher - 2019 EditionPublisher: Spielworxx Language: English/German** Condition: New Payment via Paypal (friends) or 4% fee or Bank transfer (EU)Ready to shipShipping: insured using DHL, with tracking number.Germany: +8,50Rest EU: +20,00UK/Switzerland/Non-EU: +35","0"
"Privater Verkauf, keine Rckgabe, Widerruf oder Gewhrleistung.Versand innerhalb Deutschlands kostet 5 Euro.","0"
"One coalition tile was lost and replaced with a homemade one. All the tiles and cards are tiles are numbered with 1561 on the back since the game was used in a library.Payment is possible with Revolut, PayPal, or a bank transfer.Please ask for shipping :)","0"
"The cards have red marks on the sides from a rubber band.Other than that the components are in very good condition.Payment is possible with Revolut, PayPal, or a bank transfer.Please ask for shipping :)","0"
"Played few times, please check pics for condition. Thanks!","0"
"Shipping Cost7 inside Austria16 European Unionother Countries please askPayment via SEPA Bank Transfer is also possible","0"
